Plot,Forest Type,Richness,Abundance,
1,Mixed-coniferous,141,218,
2,Mixed-coniferous,87,120,
3,Mixed-coniferous-broadleaved,88,113,
4,Mixed-coniferous-broadleaved,109,169,
5,Mixed-coniferous-broadleaved,100,149,
6,Mixed-coniferous-broadleaved,60,72,
7,Mixed-coniferous-broadleaved,109,145,
8,Mixed-coniferous,135,235,
9,Mixed-coniferous-broadleaved,50,75,
10,Mixed-coniferous,85,119,
11,Mixed-coniferous-broadleaved,92,112,
12,Mixed-coniferous-broadleaved,26,28,
13,Mixed-coniferous-broadleaved,40,57,
14,Mixed-coniferous-broadleaved,41,54,
15,Mixed-coniferous-broadleaved,65,81,
16,Mixed-coniferous-broadleaved,77,133,
17,Mixed-coniferous-broadleaved,34,46,
18,Mixed-coniferous-broadleaved,37,49,
19,Mixed-coniferous-broadleaved,62,76,
20,Mixed-coniferous-broadleaved,64,86,
21,Mixed-coniferous-broadleaved,43,59,
22,Mixed-coniferous-broadleaved,57,75,
23,Mixed-coniferous-broadleaved,58,77,